,date,vaccine_num_total,vaccine_num_daily,link
144,2022-07-21,3415934000,788000,http://www.nhc.gov.cn/jkj/s7915/202207/4c57bb1e6bf44cb5abb5a3f3344f2993.shtml
145,2022-07-20,3415146000,758000,http://www.nhc.gov.cn/jkj/s7915/202207/5979aa7a7a7441d68b615a716dbcf847.shtml
146,2022-07-19,3414388000,760000,http://www.nhc.gov.cn/jkj/s7915/202207/a076b7e685f743db94eb47884a2abb39.shtml
147,2022-07-18,3413628000,678000,http://www.nhc.gov.cn/jkj/s7915/202207/dbaaad7c47474a509c98d441678f7d3e.shtml
148,2022-07-17,3412950000,493000,http://www.nhc.gov.cn/jkj/s7915/202207/4938a57eedbb491ca5cbb0e099baf5b6.shtml
149,2022-07-16,3412457000,554000,http://www.nhc.gov.cn/jkj/s7915/202207/5ef3a5cc97cb4bc5b043815950f96662.shtml
150,2022-07-15,3411903000,767000,http://www.nhc.gov.cn/jkj/s7915/202207/eec30b5442d345c98b9bc9bc4955d912.shtml
629,2022-12-13,3451677000,1433000,http://www.gov.cn/xinwen/2022-12/14/content_5731922.htm
630,2022-12-14,3453156000,1479000,http://www.gov.cn/xinwen/2022-12/15/content_5732194.htm
631,2022-12-15,3454559000,1403000,http://www.gov.cn/xinwen/2022-12/16/content_5732391.htm
632,2022-12-16,3455859000,1300000,http://www.gov.cn/xinwen/2022-12/17/content_5732480.htm
633,2022-12-17,3456803000,944000,http://www.gov.cn/xinwen/2022-12/18/content_5732602.htm
634,2022-12-18,3457491000,688000,http://www.gov.cn/xinwen/2022-12/19/content_5732668.htm
635,2022-12-19,3458412000,921000,http://www.gov.cn/xinwen/2022-12/20/content_5732776.htm
636,2022-12-20,3461498000,3086000,http://www.gov.cn/xinwen/2022-12/21/content_5732967.htm
637,2022-12-21,3465123000,3625000,http://www.gov.cn/xinwen/2022-12/22/content_5733121.htm
638,2022-12-22,3467395000,2272000,http://www.gov.cn/xinwen/2022-12/23/content_5733257.htm
639,2022-12-23,3469670000,2275000,http://www.gov.cn/xinwen/2022-12/24/content_5733396.htm
640,2022-12-24,3470946000,1276000,https://www.chinacdc.cn/jkzt/crb/zl/szkb_11803/jszl_12208/202212/t20221225_263105.html
641,2022-12-25,3471819000,873000,https://www.chinacdc.cn/jkzt/crb/zl/szkb_11803/jszl_12208/202212/t20221226_263110.html
642,2022-12-26,3473153000,1334000,https://www.chinacdc.cn/jkzt/crb/zl/szkb_11803/jszl_12208/202212/t20221227_263121.html
643,2022-12-27,3474309000,1156000,https://www.chinacdc.cn/jkzt/crb/zl/szkb_11803/jszl_12208/202212/t20221228_263127.html
644,2022-12-28,3475387000,1078000,https://www.chinacdc.cn/jkzt/crb/zl/szkb_11803/jszl_12208/202212/t20221229_263133.html
645,2022-12-29,3476443000,1056000,https://www.chinacdc.cn/jkzt/crb/zl/szkb_11803/jszl_12208/202212/t20221230_263148.html
646,2022-12-30,3477453000,1010000,https://www.chinacdc.cn/jkzt/crb/zl/szkb_11803/jszl_12208/202212/t20221231_263163.html
647,2022-12-31,3478094000,641000,https://www.chinacdc.cn/jkzt/crb/zl/szkb_11803/jszl_12208/202301/t20230101_263165.html
648,2023-01-01,3478488000,394000,https://www.chinacdc.cn/jkzt/crb/zl/szkb_11803/jszl_12208/202301/t20230102_263167.html
649,2023-01-02,3478946000,458000,https://www.chinacdc.cn/jkzt/crb/zl/szkb_11803/jszl_12208/202301/t20230103_263182.html
650,2023-01-03,3479607000,661000,https://www.chinacdc.cn/jkzt/crb/zl/szkb_11803/jszl_12208/202301/t20230104_263192.html
651,2023-01-04,3480354000,747000,https://www.chinacdc.cn/jkzt/crb/zl/szkb_11803/jszl_12208/202301/t20230105_263219.html
652,2023-01-05,3481101000,747000,https://www.chinacdc.cn/jkzt/crb/zl/szkb_11803/jszl_12208/202301/t20230106_263223.html
653,2023-01-06,3482306000,1205000,https://www.chinacdc.cn/jkzt/crb/zl/szkb_11803/jszl_12208/202301/t20230107_263263.html
654,2023-01-07,3482965000,659000,https://www.chinacdc.cn/jkzt/crb/zl/szkb_11803/jszl_12208/202301/t20230108_263264.html
655,2023-01-08,3483438000,473000,https://www.chinacdc.cn/jkzt/crb/zl/szkb_11803/jszl_12208/202301/t20230109_263284.html
656,2023-01-09,3484655000,1217000,https://www.chinacdc.cn/jkzt/crb/zl/szkb_11803/jszl_12208/202301/t20230110_263297.html
657,2023-01-10,3485409000,754000,https://www.chinacdc.cn/jkzt/crb/zl/szkb_11803/jszl_12208/202301/t20230111_263338.html
658,2023-01-11,3486069000,660000,https://www.chinacdc.cn/jkzt/crb/zl/szkb_11803/jszl_12208/202301/t20230112_263351.html
